#  L    TT    EE     BB    EB
323    3.36961E+03    1.36860E+01    3.46072E-02    1.20017E+02
324    3.30431E+03    1.35175E+01    2.93735E-02    1.06962E+02
325    3.06242E+03    1.40704E+01    3.55598E-02    1.09634E+02
326    3.18108E+03    1.22628E+01    3.23400E-02    1.07153E+02
327    3.33474E+03    1.41707E+01    3.13295E-02    1.17900E+02
328    3.54480E+03    1.39251E+01    3.40469E-02    1.30350E+02
329    2.88072E+03    1.43949E+01    3.18128E-02    1.06054E+02
330    2.92775E+03    1.41202E+01    3.20970E-02    9.87123E+01
331    3.25999E+03    1.44489E+01    3.50671E-02    1.06855E+02
332    3.19949E+03    1.46104E+01    3.60118E-02    1.18975E+02
333    2.77982E+03    1.38779E+01    3.16101E-02    9.97284E+01
334    2.93818E+03    1.39405E+01    3.74537E-02    9.64793E+01
335    3.15177E+03    1.64869E+01    3.32739E-02    1.17004E+02
336    2.68947E+03    1.60446E+01    3.18896E-02    1.02405E+02
337    2.82753E+03    1.68350E+01    3.58598E-02    1.03298E+02
338    2.83316E+03    1.66527E+01    3.68795E-02    1.01882E+02
339    2.83565E+03    1.55656E+01    3.47732E-02    1.15294E+02
340    3.11271E+03    1.65732E+01    3.79428E-02    1.19218E+02
341    2.79232E+03    1.56157E+01    3.35259E-02    1.03399E+02
342    2.63095E+03    1.61501E+01    3.74953E-02    9.17399E+01
343    2.74994E+03    1.82342E+01    3.28657E-02    1.11700E+02
344    2.48729E+03    1.67476E+01    3.38692E-02    9.81427E+01
345    2.80533E+03    1.61927E+01    3.32693E-02    8.96636E+01
346    2.43479E+03    1.79854E+01    3.76497E-02    9.95089E+01
347    2.71507E+03    1.61602E+01    3.81434E-02    9.39945E+01
348    2.73145E+03    1.83911E+01    3.70486E-02    1.09968E+02
349    2.55037E+03    1.87264E+01    3.60651E-02    9.21868E+01
350    2.70004E+03    1.71593E+01    3.39718E-02    8.87352E+01
351    2.41481E+03    1.76731E+01    3.77635E-02    9.26347E+01
352    2.40515E+03    1.83328E+01    3.75648E-02    8.28831E+01
353    2.58743E+03    1.63379E+01    3.51183E-02    8.71890E+01
354    2.34761E+03    1.82782E+01    3.66422E-02    6.86764E+01
355    2.36647E+03    1.89816E+01    3.57719E-02    7.91269E+01
356    2.48991E+03    1.70010E+01    3.51931E-02    7.53872E+01
357    2.63024E+03    1.87640E+01    3.54413E-02    9.78047E+01
358    2.47293E+03    2.10930E+01    4.02160E-02    8.43202E+01
359    2.18494E+03    2.05867E+01    3.67889E-02    6.75333E+01
360    2.17383E+03    2.02460E+01    3.16189E-02    7.45931E+01
361    2.23619E+03    1.78429E+01    3.44751E-02    6.41893E+01
362    2.10901E+03    1.88079E+01    3.95284E-02    7.33675E+01
363    2.26306E+03    1.68507E+01    4.08853E-02    5.20472E+01
364    2.29926E+03    2.02989E+01    3.98310E-02    7.97558E+01
365    2.39128E+03    2.00551E+01    3.45588E-02    7.05573E+01
366    2.05108E+03    2.02681E+01    3.60381E-02    6.18709E+01
367    1.98990E+03    2.05733E+01    3.93275E-02    5.25355E+01
368    1.81092E+03    2.06137E+01    3.62026E-02    5.53161E+01
369    2.21898E+03    2.03114E+01    3.94820E-02    6.15110E+01
370    2.17846E+03    1.95855E+01    3.92917E-02    6.29864E+01
371    2.13441E+03    1.92421E+01    4.18247E-02    5.37608E+01
372    2.01900E+03    1.95437E+01    4.07709E-02    5.49094E+01
373    2.27873E+03    1.99578E+01    3.92882E-02    5.78626E+01
374    2.09619E+03    2.15873E+01    3.91193E-02    6.06096E+01
375    1.96043E+03    2.19158E+01    3.59847E-02    4.82542E+01
376    1.96892E+03    2.11789E+01    4.28885E-02    4.47247E+01
377    2.09307E+03    2.14537E+01    3.84550E-02    4.35062E+01
378    1.97487E+03    2.11222E+01    3.87462E-02    3.26097E+01
379    2.08606E+03    2.23695E+01    3.77552E-02    4.17905E+01
380    2.08744E+03    2.37457E+01    3.61386E-02    4.88440E+01
381    2.01817E+03    1.98042E+01    3.99765E-02    3.08983E+01
382    1.70138E+03    2.29585E+01    3.78059E-02    3.40236E+01
383    1.92896E+03    2.35291E+01    4.09327E-02    5.27449E+01
384    1.88596E+03    2.10896E+01    4.17440E-02    2.35546E+01
385    1.92764E+03    2.09440E+01    3.74964E-02    2.56035E+01
386    2.01148E+03    2.18096E+01    3.81591E-02    4.51144E+01
387    2.00362E+03    2.17735E+01    4.17179E-02    2.47117E+01
388    1.73342E+03    2.10697E+01    3.71957E-02    1.74665E+01
389    1.99534E+03    2.13985E+01    3.75124E-02    2.15092E+01
390    1.75889E+03    2.13960E+01    3.81997E-02    1.62185E+01
391    1.71861E+03    2.03809E+01    4.16586E-02    1.68547E+01
392    1.75277E+03    2.03839E+01    4.23018E-02    1.44646E+01
393    1.80344E+03    2.06543E+01    4.20994E-02    1.64940E+01
394    1.70567E+03    2.28229E+01    4.25916E-02    1.58011E+00
395    1.73426E+03    2.35692E+01    3.91840E-02    1.18159E+00
396    1.75027E+03    2.06402E+01    4.41054E-02    4.19220E+00
397    1.84723E+03    2.11482E+01    4.05640E-02    1.10777E+01
398    1.70454E+03    2.09769E+01    3.99360E-02    1.37573E+01
399    1.85307E+03    2.34465E+01    4.67010E-02    1.51471E+00
400    1.81273E+03    2.16235E+01    4.19635E-02    3.09888E+00
401    1.76428E+03    2.22208E+01    4.07194E-02    4.17643E+00
402    1.71955E+03    2.20530E+01    4.46255E-02    8.76159E-01
403    1.77005E+03    2.07658E+01    4.12917E-02    -6.84269E+00
404    1.68950E+03    2.18540E+01    4.56479E-02    -9.20620E+00
