# L    TT    EE    BB    TE    PP    TP    EP
191    5.45406E+03    7.06354E-01    1.36220E-05    -2.53002E+01    5.93238E-08    1.56661E-04    -5.12650E-07
192    5.47121E+03    6.99612E-01    1.34589E-05    -2.42318E+01    5.90136E-08    1.55404E-04    -4.99598E-07
193    5.48781E+03    6.93429E-01    1.33064E-05    -2.31384E+01    5.87058E-08    1.54158E-04    -4.86550E-07
194    5.50387E+03    6.87842E-01    1.31641E-05    -2.20206E+01    5.84006E-08    1.52923E-04    -4.73494E-07
195    5.51938E+03    6.82887E-01    1.30318E-05    -2.08785E+01    5.80978E-08    1.51699E-04    -4.60416E-07
196    5.53432E+03    6.78599E-01    1.29093E-05    -1.97126E+01    5.77974E-08    1.50485E-04    -4.47304E-07
197    5.54871E+03    6.75018E-01    1.27963E-05    -1.85233E+01    5.74995E-08    1.49282E-04    -4.34145E-07
198    5.56254E+03    6.72178E-01    1.26925E-05    -1.73109E+01    5.72038E-08    1.48088E-04    -4.20928E-07
199    5.57579E+03    6.70118E-01    1.25978E-05    -1.60756E+01    5.69106E-08    1.46903E-04    -4.07638E-07
200    5.58848E+03    6.68872E-01    1.25119E-05    -1.48181E+01    5.66196E-08    1.45727E-04    -3.94264E-07
201    5.60059E+03    6.68480E-01    1.24345E-05    -1.35386E+01    5.63309E-08    1.44560E-04    -3.80795E-07
202    5.61212E+03    6.68976E-01    1.23653E-05    -1.22377E+01    5.60445E-08    1.43402E-04    -3.67233E-07
203    5.62304E+03    6.70399E-01    1.23041E-05    -1.09156E+01    5.57603E-08    1.42252E-04    -3.53581E-07
204    5.63336E+03    6.72785E-01    1.22507E-05    -9.57285E+00    5.54783E-08    1.41111E-04    -3.39842E-07
205    5.64304E+03    6.76171E-01    1.22048E-05    -8.20988E+00    5.51985E-08    1.39978E-04    -3.26021E-07
206    5.65211E+03    6.80593E-01    1.21660E-05    -6.82708E+00    5.49209E-08    1.38853E-04    -3.12121E-07
207    5.66054E+03    6.86088E-01    1.21343E-05    -5.42485E+00    5.46455E-08    1.37737E-04    -2.98146E-07
208    5.66832E+03    6.92693E-01    1.21092E-05    -4.00378E+00    5.43723E-08    1.36629E-04    -2.84099E-07
209    5.67549E+03    7.00444E-01    1.20905E-05    -2.56442E+00    5.41011E-08    1.35530E-04    -2.69984E-07
210    5.68203E+03    7.09378E-01    1.20781E-05    -1.10733E+00    5.38321E-08    1.34438E-04    -2.55804E-07
211    5.68795E+03    7.19533E-01    1.20715E-05    3.66916E-01    5.35652E-08    1.33355E-04    -2.41564E-07
212    5.69326E+03    7.30944E-01    1.20706E-05    1.85777E+00    5.33003E-08    1.32279E-04    -2.27267E-07
213    5.69797E+03    7.43649E-01    1.20751E-05    3.36465E+00    5.30375E-08    1.31212E-04    -2.12917E-07
214    5.70207E+03    7.57685E-01    1.20847E-05    4.88701E+00    5.27768E-08    1.30153E-04    -1.98516E-07
215    5.70557E+03    7.73081E-01    1.20992E-05    6.42425E+00    5.25180E-08    1.29101E-04    -1.84070E-07
216    5.70846E+03    7.89884E-01    1.21183E-05    7.97577E+00    5.22613E-08    1.28057E-04    -1.69581E-07
